shift_date,shift,line_id,machine_id,good_count,reject_count,scrap_rate,defect_code,defect_type,measurement_mm,lsl,usl
2025-07-03,B,L3,M301,4097,193,0.045,DIM,Dimension out of spec,9.9224,9.5,10.5
2025-07-03,A,L3,M302,3258,94,0.0283,OTHER,Other,9.7566,9.5,10.5
2025-07-03,B,L3,M302,4056,190,0.0449,OTHER,Other,10.0104,9.5,10.5
2025-07-03,A,L3,M303,3271,78,0.0235,CONTAM,Contamination,10.0407,9.5,10.5
2025-07-03,B,L3,M303,4033,20,0.005,OTHER,Other,10.2397,9.5,10.5
2025-07-04,A,L1,M101,5252,211,0.0386,OTHER,Other,9.951,9.5,10.5
2025-07-04,B,L1,M101,2812,55,0.0195,CONTAM,Contamination,9.8789,9.5,10.5
2025-07-04,A,L1,M102,3187,139,0.0421,SCRATCH,Surface scratch,10.1972,9.5,10.5
2025-07-04,B,L1,M102,3773,125,0.0322,SCRATCH,Surface scratch,10.2458,9.5,10.5
2025-07-04,A,L2,M201,4745,245,0.0491,SCRATCH,Surface scratch,10.3092,9.5,10.5
2025-07-04,B,L2,M201,4000,231,0.0547,CONTAM,Contamination,9.8246,9.5,10.5
2025-07-04,A,L2,M202,3084,197,0.0602,CONTAM,Contamination,10.3597,9.5,10.5
2025-07-04,B,L2,M202,4298,307,0.0669,OTHER,Other,10.3895,9.5,10.5
2025-07-04,A,L3,M301,2746,88,0.0313,DIM,Dimension out of spec,9.9198,9.5,10.5
2025-07-04,B,L3,M301,3235,177,0.0519,DIM,Dimension out of spec,10.0511,9.5,10.5
2025-07-04,A,L3,M302,3127,127,0.0392,DIM,Dimension out of spec,9.7728,9.5,10.5
2025-07-04,B,L3,M302,2996,109,0.0352,DIM,Dimension out of spec,9.9187,9.5,10.5
2025-07-04,A,L3,M303,3405,93,0.0267,CONTAM,Contamination,10.0481,9.5,10.5
2025-07-04,B,L3,M303,4164,147,0.0342,DIM,Dimension out of spec,10.0474,9.5,10.5
2025-07-05,A,L1,M101,3823,162,0.0409,OTHER,Other,10.1328,9.5,10.5
2025-07-05,B,L1,M101,4766,258,0.0515,OTHER,Other,9.9978,9.5,10.5
2025-07-05,A,L1,M102,4680,188,0.0387,DIM,Dimension out of spec,9.8922,9.5,10.5
2025-07-05,B,L1,M102,4234,21,0.005,OTHER,Other,9.9372,9.5,10.5
2025-07-05,A,L2,M201,3904,229,0.0555,CONTAM,Contamination,10.8793,9.5,10.5
2025-07-05,B,L2,M201,3279,87,0.0259,OTHER,Other,10.1985,9.5,10.5
2025-07-05,A,L2,M202,2979,209,0.0659,DIM,Dimension out of spec,10.1572,9.5,10.5
2025-07-05,B,L2,M202,5363,215,0.0386,OTHER,Other,9.9967,9.5,10.5
2025-07-05,A,L3,M301,3018,76,0.0249,DIM,Dimension out of spec,10.0038,9.5,10.5
2025-07-05,B,L3,M301,2745,164,0.0565,DIM,Dimension out of spec,10.0331,9.5,10.5
2025-07-05,A,L3,M302,4163,75,0.0177,DIM,Dimension out of spec,10.074,9.5,10.5
2025-07-05,B,L3,M302,4924,88,0.0176,DIM,Dimension out of spec,10.0198,9.5,10.5
2025-07-05,A,L3,M303,4287,137,0.0312,DIM,Dimension out of spec,10.0083,9.5,10.5
2025-07-05,B,L3,M303,3004,120,0.0384,SCRATCH,Surface scratch,9.9867,9.5,10.5
2025-07-06,A,L1,M101,4066,202,0.0474,CONTAM,Contamination,10.0203,9.5,10.5
2025-07-06,B,L1,M101,2849,170,0.0566,OTHER,Other,10.0257,9.5,10.5
2025-07-06,A,L1,M102,3197,97,0.0295,CONTAM,Contamination,10.0423,9.5,10.5
2025-07-06,B,L1,M102,3494,73,0.0207,CONTAM,Contamination,9.9255,9.5,10.5
2025-07-06,A,L2,M201,4650,165,0.0343,SCRATCH,Surface scratch,10.1462,9.5,10.5
2025-07-06,B,L2,M201,4278,173,0.0389,CONTAM,Contamination,10.1296,9.5,10.5
2025-07-06,A,L2,M202,2998,145,0.0462,DIM,Dimension out of spec,10.2043,9.5,10.5
2025-07-06,B,L2,M202,3252,199,0.0577,OTHER,Other,10.3942,9.5,10.5
2025-07-06,A,L3,M301,3182,151,0.0455,OTHER,Other,10.1836,9.5,10.5
2025-07-06,B,L3,M301,3758,157,0.0403,DIM,Dimension out of spec,9.9941,9.5,10.5
2025-07-06,A,L3,M302,2972,95,0.0311,OTHER,Other,10.0268,9.5,10.5
2025-07-06,B,L3,M302,3548,129,0.0352,DIM,Dimension out of spec,10.1333,9.5,10.5
2025-07-06,A,L3,M303,3912,236,0.0571,OTHER,Other,9.992,9.5,10.5
2025-07-06,B,L3,M303,3370,68,0.02,OTHER,Other,10.0659,9.5,10.5
2025-07-07,A,L1,M101,2946,91,0.0303,OTHER,Other,9.9918,9.5,10.5
2025-07-07,B,L1,M101,4153,118,0.0277,DIM,Dimension out of spec,9.9416,9.5,10.5
2025-07-07,A,L1,M102,4128,102,0.0243,DIM,Dimension out of spec,9.8885,9.5,10.5
2025-07-07,B,L1,M102,2746,122,0.0429,SCRATCH,Surface scratch,9.9595,9.5,10.5
2025-07-07,A,L2,M201,3597,244,0.0636,CONTAM,Contamination,10.0632,9.5,10.5
2025-07-07,B,L2,M201,4933,160,0.0316,SCRATCH,Surface scratch,10.0417,9.5,10.5
2025-07-07,A,L2,M202,3267,195,0.0565,CONTAM,Contamination,10.3257,9.5,10.5
2025-07-07,B,L2,M202,2795,180,0.0606,OTHER,Other,10.132,9.5,10.5
2025-07-07,A,L3,M301,2926,117,0.0388,DIM,Dimension out of spec,9.9717,9.5,10.5
2025-07-07,B,L3,M301,4300,21,0.005,OTHER,Other,9.9104,9.5,10.5
2025-07-07,A,L3,M302,4197,167,0.0384,CONTAM,Contamination,9.8134,9.5,10.5
2025-07-07,B,L3,M302,3369,158,0.0449,SCRATCH,Surface scratch,9.9621,9.5,10.5
2025-07-07,A,L3,M303,3996,128,0.0312,OTHER,Other,9.9786,9.5,10.5
2025-07-07,B,L3,M303,3316,166,0.0479,CONTAM,Contamination,10.1256,9.5,10.5
2025-07-08,A,L1,M101,5026,168,0.0325,CONTAM,Contamination,9.9193,9.5,10.5
2025-07-08,B,L1,M101,2786,187,0.0629,DIM,Dimension out of spec,9.9844,9.5,10.5
2025-07-08,A,L1,M102,3275,153,0.0448,CONTAM,Contamination,10.1587,9.5,10.5
2025-07-08,B,L1,M102,3130,133,0.0409,SCRATCH,Surface scratch,10.1213,9.5,10.5
2025-07-08,A,L2,M201,3821,194,0.0484,OTHER,Other,9.874,9.5,10.5
2025-07-08,B,L2,M201,2764,146,0.0504,CONTAM,Contamination,10.5028,9.5,10.5
2025-07-08,A,L2,M202,4006,235,0.0556,SCRATCH,Surface scratch,10.4275,9.5,10.5
2025-07-08,B,L2,M202,4328,148,0.0331,DIM,Dimension out of spec,10.2526,9.5,10.5
2025-07-08,A,L3,M301,3349,131,0.0377,DIM,Dimension out of spec,9.8986,9.5,10.5
2025-07-08,B,L3,M301,3242,188,0.0549,OTHER,Other,10.2397,9.5,10.5
2025-07-08,A,L3,M302,3752,22,0.006,OTHER,Other,9.9733,9.5,10.5
2025-07-08,B,L3,M302,3347,70,0.0206,DIM,Dimension out of spec,10.1124,9.5,10.5
2025-07-08,A,L3,M303,2286,61,0.0263,SCRATCH,Surface scratch,10.1049,9.5,10.5
2025-07-08,B,L3,M303,3799,99,0.0255,OTHER,Other,10.0228,9.5,10.5
2025-07-09,A,L1,M101,4338,146,0.0327,DIM,Dimension out of spec,10.1237,9.5,10.5
2025-07-09,B,L1,M101,4307,106,0.0241,DIM,Dimension out of spec,9.9026,9.5,10.5
2025-07-09,A,L1,M102,3770,220,0.0554,CONTAM,Contamination,9.9922,9.5,10.5
2025-07-09,B,L1,M102,4430,37,0.0083,SCRATCH,Surface scratch,10.1493,9.5,10.5
2025-07-09,A,L2,M201,3806,291,0.0712,DIM,Dimension out of spec,10.4186,9.5,10.5
2025-07-09,B,L2,M201,2808,165,0.0558,OTHER,Other,10.46,9.5,10.5
2025-07-09,A,L2,M202,4452,131,0.0286,SCRATCH,Surface scratch,10.5756,9.5,10.5
2025-07-09,B,L2,M202,3686,171,0.0445,DIM,Dimension out of spec,9.8247,9.5,10.5
2025-07-09,A,L3,M301,3965,79,0.0196,OTHER,Other,10.0473,9.5,10.5
2025-07-09,B,L3,M301,2750,79,0.028,DIM,Dimension out of spec,9.9657,9.5,10.5
2025-07-09,A,L3,M302,2617,88,0.0325,OTHER,Other,9.9086,9.5,10.5
2025-07-09,B,L3,M302,2693,69,0.0251,OTHER,Other,9.9618,9.5,10.5
2025-07-09,A,L3,M303,3778,193,0.0487,SCRATCH,Surface scratch,9.9773,9.5,10.5
2025-07-09,B,L3,M303,2568,67,0.0257,SCRATCH,Surface scratch,10.2694,9.5,10.5
2025-07-10,A,L1,M101,3275,102,0.0303,DIM,Dimension out of spec,10.0527,9.5,10.5
2025-07-10,B,L1,M101,4446,242,0.0516,CONTAM,Contamination,10.0501,9.5,10.5
2025-07-10,A,L1,M102,2955,80,0.0265,SCRATCH,Surface scratch,10.0302,9.5,10.5
2025-07-10,B,L1,M102,4324,24,0.0057,CONTAM,Contamination,10.0931,9.5,10.5
2025-07-10,A,L2,M201,4431,350,0.0733,DIM,Dimension out of spec,9.9873,9.5,10.5
2025-07-10,B,L2,M201,3204,217,0.0637,OTHER,Other,10.0508,9.5,10.5
2025-07-10,A,L2,M202,4548,267,0.0555,SCRATCH,Surface scratch,10.1141,9.5,10.5
2025-07-10,B,L2,M202,3782,152,0.0387,DIM,Dimension out of spec,10.134,9.5,10.5
2025-07-10,A,L3,M301,3610,215,0.0564,DIM,Dimension out of spec,10.0312,9.5,10.5
2025-07-10,B,L3,M301,3414,109,0.031,DIM,Dimension out of spec,9.959,9.5,10.5
2025-07-10,A,L3,M302,3985,124,0.0302,CONTAM,Contamination,10.1442,9.5,10.5
2025-07-10,B,L3,M302,3719,110,0.0289,OTHER,Other,10.0163,9.5,10.5
2025-07-10,A,L3,M303,2831,85,0.0293,DIM,Dimension out of spec,10.2401,9.5,10.5
2025-07-10,B,L3,M303,3574,124,0.0337,SCRATCH,Surface scratch,10.2066,9.5,10.5
2025-07-11,A,L1,M101,2889,112,0.0376,DIM,Dimension out of spec,10.0418,9.5,10.5
2025-07-11,B,L1,M101,3359,134,0.0385,CONTAM,Contamination,9.9616,9.5,10.5
2025-07-11,A,L1,M102,3008,56,0.0183,OTHER,Other,10.0925,9.5,10.5
2025-07-11,B,L1,M102,4204,192,0.0437,OTHER,Other,10.0123,9.5,10.5
2025-07-11,A,L2,M201,4886,393,0.0746,DIM,Dimension out of spec,10.3421,9.5,10.5
2025-07-11,B,L2,M201,3544,323,0.0837,SCRATCH,Surface scratch,10.2895,9.5,10.5
2025-07-11,A,L2,M202,3767,242,0.0605,OTHER,Other,9.9396,9.5,10.5
2025-07-11,B,L2,M202,2607,175,0.063,SCRATCH,Surface scratch,10.1924,9.5,10.5
2025-07-11,A,L3,M301,3128,121,0.0374,OTHER,Other,9.9508,9.5,10.5
2025-07-11,B,L3,M301,2767,139,0.0481,OTHER,Other,9.8314,9.5,10.5
2025-07-11,A,L3,M302,2384,121,0.0487,DIM,Dimension out of spec,10.0437,9.5,10.5
2025-07-11,B,L3,M302,2958,158,0.051,SCRATCH,Surface scratch,9.9321,9.5,10.5
2025-07-11,A,L3,M303,2509,205,0.0756,CONTAM,Contamination,10.123,9.5,10.5
2025-07-11,B,L3,M303,3584,164,0.044,SCRATCH,Surface scratch,9.9626,9.5,10.5
2025-07-12,A,L1,M101,4853,82,0.0168,OTHER,Other,10.0863,9.5,10.5
2025-07-12,B,L1,M101,5316,194,0.0353,DIM,Dimension out of spec,10.0999,9.5,10.5
2025-07-12,A,L1,M102,2942,107,0.0352,SCRATCH,Surface scratch,10.03,9.5,10.5
2025-07-12,B,L1,M102,4346,127,0.0285,CONTAM,Contamination,9.9247,9.5,10.5
2025-07-12,A,L2,M201,4904,222,0.0435,OTHER,Other,10.2132,9.5,10.5
2025-07-12,B,L2,M201,2822,241,0.0787,DIM,Dimension out of spec,9.9814,9.5,10.5
2025-07-12,A,L2,M202,3124,149,0.0457,CONTAM,Contamination,9.952,9.5,10.5
2025-07-12,B,L2,M202,2934,182,0.0587,CONTAM,Contamination,10.2104,9.5,10.5
2025-07-12,A,L3,M301,2673,77,0.0282,DIM,Dimension out of spec,10.034,9.5,10.5
2025-07-12,B,L3,M301,3963,167,0.0404,SCRATCH,Surface scratch,10.1456,9.5,10.5
2025-07-12,A,L3,M302,2601,73,0.0274,SCRATCH,Surface scratch,10.0606,9.5,10.5
2025-07-12,B,L3,M302,3942,289,0.0685,OTHER,Other,9.7578,9.5,10.5
2025-07-12,A,L3,M303,2841,106,0.0363,OTHER,Other,10.1827,9.5,10.5
2025-07-12,B,L3,M303,2488,115,0.0443,CONTAM,Contamination,10.0556,9.5,10.5
2025-07-13,A,L1,M101,4605,362,0.073,OTHER,Other,9.8989,9.5,10.5
2025-07-13,B,L1,M101,3300,146,0.0426,OTHER,Other,9.8514,9.5,10.5
2025-07-13,A,L1,M102,5084,278,0.0518,CONTAM,Contamination,9.9224,9.5,10.5
2025-07-13,B,L1,M102,4112,119,0.0283,OTHER,Other,10.052,9.5,10.5
2025-07-13,A,L2,M201,4986,151,0.0295,SCRATCH,Surface scratch,10.3156,9.5,10.5
2025-07-13,B,L2,M201,3227,193,0.0565,OTHER,Other,9.8451,9.5,10.5
2025-07-13,A,L2,M202,4182,175,0.0403,CONTAM,Contamination,9.9662,9.5,10.5
2025-07-13,B,L2,M202,3548,182,0.049,OTHER,Other,10.3991,9.5,10.5
2025-07-13,A,L3,M301,2952,70,0.0234,SCRATCH,Surface scratch,9.9723,9.5,10.5
2025-07-13,B,L3,M301,2626,95,0.035,OTHER,Other,10.14,9.5,10.5
2025-07-13,A,L3,M302,3608,190,0.0501,DIM,Dimension out of spec,10.0595,9.5,10.5
2025-07-13,B,L3,M302,3195,104,0.0318,OTHER,Other,9.9791,9.5,10.5
2025-07-13,A,L3,M303,2981,32,0.0107,OTHER,Other,10.1066,9.5,10.5
2025-07-13,B,L3,M303,3827,162,0.0408,SCRATCH,Surface scratch,10.1839,9.5,10.5
2025-07-14,A,L1,M101,3843,80,0.0205,OTHER,Other,10.0574,9.5,10.5
2025-07-14,B,L1,M101,5034,55,0.0109,CONTAM,Contamination,9.9602,9.5,10.5
2025-07-14,A,L1,M102,3768,77,0.0201,SCRATCH,Surface scratch,9.9537,9.5,10.5
2025-07-14,B,L1,M102,4719,119,0.0248,OTHER,Other,10.1688,9.5,10.5
2025-07-14,A,L2,M201,2970,173,0.0551,OTHER,Other,10.3261,9.5,10.5
2025-07-14,B,L2,M201,3653,181,0.0473,DIM,Dimension out of spec,9.9981,9.5,10.5
2025-07-14,A,L2,M202,3165,208,0.0617,OTHER,Other,10.2061,9.5,10.5
2025-07-14,B,L2,M202,3108,257,0.0765,SCRATCH,Surface scratch,10.2919,9.5,10.5
2025-07-14,A,L3,M301,2702,23,0.0087,DIM,Dimension out of spec,9.9065,9.5,10.5
2025-07-14,B,L3,M301,3331,142,0.041,OTHER,Other,10.0977,9.5,10.5
2025-07-14,A,L3,M302,3169,60,0.0187,CONTAM,Contamination,9.9556,9.5,10.5
2025-07-14,B,L3,M302,4644,274,0.0559,DIM,Dimension out of spec,10.1321,9.5,10.5
2025-07-14,A,L3,M303,2555,123,0.0463,DIM,Dimension out of spec,10.1178,9.5,10.5
2025-07-14,B,L3,M303,3252,148,0.0437,CONTAM,Contamination,10.0812,9.5,10.5
2025-07-15,A,L1,M101,3756,159,0.0408,OTHER,Other,9.9706,9.5,10.5
2025-07-15,B,L1,M101,5089,138,0.0264,SCRATCH,Surface scratch,9.9914,9.5,10.5
2025-07-15,A,L1,M102,3419,21,0.0063,DIM,Dimension out of spec,9.9737,9.5,10.5
2025-07-15,B,L1,M102,2822,115,0.0395,OTHER,Other,10.2317,9.5,10.5
2025-07-15,A,L2,M201,3847,259,0.0633,DIM,Dimension out of spec,10.4211,9.5,10.5
2025-07-15,B,L2,M201,4762,340,0.0668,SCRATCH,Surface scratch,10.2335,9.5,10.5
2025-07-15,A,L2,M202,2817,96,0.033,CONTAM,Contamination,9.9034,9.5,10.5
2025-07-15,B,L2,M202,4382,177,0.0389,DIM,Dimension out of spec,10.0618,9.5,10.5
2025-07-15,A,L3,M301,3763,167,0.0427,CONTAM,Contamination,10.0097,9.5,10.5
2025-07-15,B,L3,M301,4415,165,0.0362,OTHER,Other,9.9609,9.5,10.5
2025-07-15,A,L3,M302,3758,107,0.0277,CONTAM,Contamination,10.1934,9.5,10.5
2025-07-15,B,L3,M302,3498,90,0.0253,DIM,Dimension out of spec,9.9857,9.5,10.5
2025-07-15,A,L3,M303,2949,187,0.0596,DIM,Dimension out of spec,10.045,9.5,10.5
2025-07-15,B,L3,M303,3634,73,0.0197,DIM,Dimension out of spec,10.017,9.5,10.5
2025-07-16,A,L1,M101,3223,115,0.0345,OTHER,Other,10.0062,9.5,10.5
2025-07-16,B,L1,M101,4827,288,0.0563,OTHER,Other,10.199,9.5,10.5
2025-07-16,A,L1,M102,3615,271,0.07,CONTAM,Contamination,9.8497,9.5,10.5
2025-07-16,B,L1,M102,3507,169,0.0461,CONTAM,Contamination,9.9577,9.5,10.5
2025-07-16,A,L2,M201,4073,264,0.061,DIM,Dimension out of spec,9.8812,9.5,10.5
2025-07-16,B,L2,M201,3788,291,0.0714,OTHER,Other,10.1642,9.5,10.5
2025-07-16,A,L2,M202,4417,293,0.0623,SCRATCH,Surface scratch,9.9745,9.5,10.5
2025-07-16,B,L2,M202,4169,326,0.0727,DIM,Dimension out of spec,10.2364,9.5,10.5
2025-07-16,A,L3,M301,2770,32,0.0114,DIM,Dimension out of spec,9.8815,9.5,10.5
2025-07-16,B,L3,M301,2619,136,0.0495,CONTAM,Contamination,10.2209,9.5,10.5
2025-07-16,A,L3,M302,3999,93,0.0228,DIM,Dimension out of spec,10.0516,9.5,10.5
2025-07-16,B,L3,M302,2971,125,0.0405,OTHER,Other,9.9621,9.5,10.5
2025-07-16,A,L3,M303,3097,92,0.029,DIM,Dimension out of spec,10.0498,9.5,10.5
2025-07-16,B,L3,M303,3053,97,0.031,DIM,Dimension out of spec,10.0944,9.5,10.5
2025-07-17,A,L1,M101,3248,158,0.0467,OTHER,Other,10.0618,9.5,10.5
2025-07-17,B,L1,M101,2964,90,0.0296,SCRATCH,Surface scratch,10.0073,9.5,10.5
2025-07-17,A,L1,M102,3166,172,0.0516,DIM,Dimension out of spec,10.1323,9.5,10.5
2025-07-17,B,L1,M102,2969,130,0.042,CONTAM,Contamination,10.177,9.5,10.5
2025-07-17,A,L2,M201,2912,166,0.0541,OTHER,Other,10.0812,9.5,10.5
2025-07-17,B,L2,M201,3419,134,0.0377,OTHER,Other,10.2541,9.5,10.5
2025-07-17,A,L2,M202,4905,281,0.0543,DIM,Dimension out of spec,10.5417,9.5,10.5
2025-07-17,B,L2,M202,4694,403,0.0792,SCRATCH,Surface scratch,9.9999,9.5,10.5
2025-07-17,A,L3,M301,3244,59,0.018,OTHER,Other,10.1045,9.5,10.5
2025-07-17,B,L3,M301,2659,75,0.0276,OTHER,Other,10.0133,9.5,10.5
2025-07-17,A,L3,M302,2800,124,0.0427,CONTAM,Contamination,9.9643,9.5,10.5
2025-07-17,B,L3,M302,3636,113,0.0303,SCRATCH,Surface scratch,10.0271,9.5,10.5
2025-07-17,A,L3,M303,3152,60,0.0188,CONTAM,Contamination,10.106,9.5,10.5
2025-07-17,B,L3,M303,3747,115,0.0298,SCRATCH,Surface scratch,10.0138,9.5,10.5
2025-07-18,A,L1,M101,4563,55,0.012,CONTAM,Contamination,10.0888,9.5,10.5
2025-07-18,B,L1,M101,3095,79,0.025,DIM,Dimension out of spec,9.8496,9.5,10.5
2025-07-18,A,L1,M102,3869,124,0.0311,SCRATCH,Surface scratch,10.1357,9.5,10.5
2025-07-18,B,L1,M102,4093,145,0.0344,DIM,Dimension out of spec,10.0272,9.5,10.5
2025-07-18,A,L2,M201,3245,182,0.0533,CONTAM,Contamination,10.2955,9.5,10.5
2025-07-18,B,L2,M201,3338,178,0.0507,OTHER,Other,10.4233,9.5,10.5
2025-07-18,A,L2,M202,3364,237,0.0658,DIM,Dimension out of spec,10.1299,9.5,10.5
2025-07-18,B,L2,M202,3882,365,0.086,DIM,Dimension out of spec,9.84,9.5,10.5
2025-07-18,A,L3,M301,3737,122,0.0317,CONTAM,Contamination,10.1272,9.5,10.5
2025-07-18,B,L3,M301,2536,43,0.0168,SCRATCH,Surface scratch,10.0154,9.5,10.5
2025-07-18,A,L3,M302,4068,135,0.0323,SCRATCH,Surface scratch,9.9512,9.5,10.5
2025-07-18,B,L3,M302,3971,140,0.0341,CONTAM,Contamination,9.8456,9.5,10.5
2025-07-18,A,L3,M303,2915,180,0.0584,SCRATCH,Surface scratch,10.1231,9.5,10.5
2025-07-18,B,L3,M303,4058,173,0.0411,CONTAM,Contamination,10.0825,9.5,10.5
2025-07-19,A,L1,M101,2825,135,0.0458,OTHER,Other,10.2044,9.5,10.5
2025-07-19,B,L1,M101,3025,107,0.0343,DIM,Dimension out of spec,9.8729,9.5,10.5
2025-07-19,A,L1,M102,4159,97,0.023,OTHER,Other,10.0693,9.5,10.5
2025-07-19,B,L1,M102,4401,229,0.0495,SCRATCH,Surface scratch,10.1087,9.5,10.5
2025-07-19,A,L2,M201,4438,215,0.0463,DIM,Dimension out of spec,10.0257,9.5,10.5
2025-07-19,B,L2,M201,5090,290,0.054,OTHER,Other,10.3188,9.5,10.5
2025-07-19,A,L2,M202,4156,223,0.051,OTHER,Other,10.5463,9.5,10.5
2025-07-19,B,L2,M202,3682,300,0.0755,SCRATCH,Surface scratch,10.3382,9.5,10.5
2025-07-19,A,L3,M301,2354,85,0.0352,SCRATCH,Surface scratch,9.846,9.5,10.5
2025-07-19,B,L3,M301,2552,15,0.006,SCRATCH,Surface scratch,9.9444,9.5,10.5
2025-07-19,A,L3,M302,4452,68,0.0152,OTHER,Other,9.9032,9.5,10.5
2025-07-19,B,L3,M302,3822,127,0.0323,CONTAM,Contamination,10.0935,9.5,10.5
2025-07-19,A,L3,M303,2265,92,0.0392,CONTAM,Contamination,10.0089,9.5,10.5
2025-07-19,B,L3,M303,3330,95,0.0279,SCRATCH,Surface scratch,10.328,9.5,10.5
2025-07-20,A,L1,M101,3146,89,0.0275,CONTAM,Contamination,9.9711,9.5,10.5
2025-07-20,B,L1,M101,3948,202,0.0489,DIM,Dimension out of spec,10.0662,9.5,10.5
2025-07-20,A,L1,M102,3201,23,0.0072,DIM,Dimension out of spec,9.9838,9.5,10.5
2025-07-20,B,L1,M102,4292,206,0.0458,SCRATCH,Surface scratch,10.1123,9.5,10.5
2025-07-20,A,L2,M201,4740,288,0.0574,OTHER,Other,10.126,9.5,10.5
2025-07-20,B,L2,M201,4534,385,0.0784,CONTAM,Contamination,10.1076,9.5,10.5
2025-07-20,A,L2,M202,3611,152,0.0405,DIM,Dimension out of spec,10.3072,9.5,10.5
2025-07-20,B,L2,M202,4032,254,0.0594,SCRATCH,Surface scratch,10.3706,9.5,10.5
2025-07-20,A,L3,M301,2700,101,0.0364,DIM,Dimension out of spec,9.8864,9.5,10.5
2025-07-20,B,L3,M301,3146,62,0.0196,SCRATCH,Surface scratch,9.8965,9.5,10.5
2025-07-20,A,L3,M302,3021,73,0.0237,DIM,Dimension out of spec,9.9402,9.5,10.5
2025-07-20,B,L3,M302,2855,188,0.0619,OTHER,Other,9.8525,9.5,10.5
2025-07-20,A,L3,M303,3191,186,0.0553,DIM,Dimension out of spec,9.9931,9.5,10.5
2025-07-20,B,L3,M303,3122,153,0.0469,SCRATCH,Surface scratch,10.0586,9.5,10.5
2025-07-21,A,L1,M101,4084,144,0.0342,CONTAM,Contamination,10.2822,9.5,10.5
2025-07-21,B,L1,M101,3297,76,0.0226,OTHER,Other,9.9937,9.5,10.5
